nom,marque,categorie,prix_eur,caracteristiques,description_fr,description_en,description_kr,type_produit
Crème Lumière Intense,Lumière Paris,Soin visage,45.0,hydratant|anti-âge|peaux sèches,Une crème riche qui illumine et hydrate en profondeur. Idéale pour les peaux sèches et ternes.,A rich cream that brightens and deeply hydrates. Ideal for dry and dull skin.,피부를 환하게 밝혀주고 깊은 보습을 제공하는 풍부한 크림. 건조하고 칙칙한 피부에 적합합니다.,creme
Sérum Éclat Vitamine C,Lumière Paris,Soin visage,62.0,anti-taches|éclat|vitamine C,Sérum concentré en vitamine C pour un teint éclatant et unifié. Réduit les taches et les imperfections.,Vitamin C-concentrated serum for a radiant and even complexion. Reduces dark spots and imperfections.,비타민 C가 풍부한 세럼으로 화사하고 균일한 피부톤을 위한 제품. 잡티와 결점을 줄여줍니다.,serum
Huile Précieuse Rose,Lumière Paris,Soin visage,78.0,nourrissant|anti-âge|rose,Huile sèche aux extraits de rose pour nourrir et régénérer la peau. Texture légère et non grasse.,Dry oil with rose extracts to nourish and regenerate skin. Light and non-greasy texture.,피부를 영양 공급하고 재생시키는 로즈 추출물 드라이 오일. 가볍고 번들거리지 않는 질감.,huile
Masque Purifiant Argile,Lumière Paris,Soin visage,28.0,purifiant|pores|peaux mixtes,Masque à l'argile verte qui purifie et resserre les pores. Laisse la peau propre et matifiée.,Green clay mask that purifies and tightens pores. Leaves skin clean and matte.,모공을 정화하고 조여주는 그린 클레이 마스크. 피부를 깨끗하고 매트하게 만들어줍니다.,masque
Contour des Yeux Lift,Lumière Paris,Soin visage,55.0,anti-cernes|liftant|yeux,Soin contour des yeux qui lisse et lève le regard. Réduit les cernes et les poches.,Eye contour care that smooths and lifts the look. Reduces dark circles and puffiness.,눈가를 부드럽게 하고 리프팅해주는 아이 컨투어 케어. 다크서클과 붓기를 줄여줍니다.,soin_yeux
Fond de Teint Naturel,Belle Séoul,Maquillage,38.0,couvrance moyenne|longue tenue|SPF15,Fond de teint léger à couvrance modulable pour un rendu naturel toute la journée.,Light foundation with buildable coverage for a natural look all day long.,하루 종일 자연스러운 피부 표현을 위한 가벼운 파운데이션. 커버력 조절 가능.,fond_de_teint
Cushion Éclat Parfait,Belle Séoul,Maquillage,42.0,éclat|cushion|SPF50,Cushion à la couvrance légère pour un teint lumineux et frais. Protection solaire SPF50.,Light coverage cushion for a luminous and fresh complexion. SPF50 sun protection.,촉촉하고 빛나는 피부 표현을 위한 가벼운 커버 쿠션. SPF50 자외선 차단.,maquillage
Rouge à Lèvres Satin,Belle Séoul,Maquillage,25.0,longue tenue|hydratant|satiné,Rouge à lèvres satiné ultra-pigmenté pour des lèvres parfaites toute la journée.,Ultra-pigmented satin lipstick for perfect lips all day long.,하루 종일 완벽한 입술을 위한 울트라 피그먼트 새틴 립스틱.,levres
Palette Yeux Nude,Belle Séoul,Maquillage,48.0,12 teintes|mat et shimmer|longue tenue,Palette de 12 ombres à paupières aux teintes nude pour tous les looks du quotidien.,Palette of 12 eyeshadows in nude shades for all everyday looks.,일상의 모든 룩을 위한 12가지 누드 컬러 아이섀도우 팔레트.,maquillage
Blush Bonne Mine,Belle Séoul,Maquillage,22.0,naturel|bonne mine|longue tenue,Blush poudre aux reflets dorés pour un teint bonne mine et naturel.,Powder blush with golden shimmer for a healthy and natural complexion.,건강하고 자연스러운 피부톤을 위한 골든 shimmer 파우더 블러셔.,maquillage
Eau Micellaire Douce,Douceur Naturelle,Nettoyage,18.0,démaquillant|doux|tous types de peaux,Eau micellaire sans rinçage qui nettoie et démaquille en douceur. Convient à tous les types de peaux.,No-rinse micellar water that gently cleanses and removes makeup. Suitable for all skin types.,모든 피부 타입에 적합한 순한 클렌징 미셀라 워터. 헹굼 없이 부드럽게 세안 및 메이크업 제거.,nettoyant
Mousse Nettoyante Purifiante,Douceur Naturelle,Nettoyage,24.0,purifiant|doux|peaux mixtes,Mousse légère qui nettoie en profondeur sans dessécher la peau. Parfaite pour les peaux mixtes.,Light foam that deeply cleanses without drying the skin. Perfect for combination skin.,피부를 건조하게 하지 않으면서 깊이 클렌징하는 가벼운 폼. 복합성 피부에 적합.,nettoyant
Gel Nettoyant Fraîcheur,Douceur Naturelle,Nettoyage,22.0,fraîcheur|purifiant|peaux grasses,Gel nettoyant à sensation fraîche qui élimine les impuretés et l'excès de sébum.,Freshness gel cleanser that eliminates impurities and excess sebum.,불순물과 과잉 피지를 제거하는 청량감 있는 젤 클렌저.,gel
Huile Démaquillante Luxe,Douceur Naturelle,Nettoyage,35.0,démaquillant|nourrissant|waterproof,Huile démaquillante qui dissout même le maquillage waterproof tout en nourrissant la peau.,Cleansing oil that dissolves even waterproof makeup while nourishing the skin.,피부를 영양 공급하면서 워터프루프 메이크업도 제거하는 클렌징 오일.,huile
Exfoliant Doux Visage,Douceur Naturelle,Nettoyage,26.0,exfoliant|doux|éclat,Exfoliant doux aux micro-billes naturelles pour une peau lisse et lumineuse.,Gentle exfoliant with natural micro-beads for smooth and luminous skin.,부드럽고 빛나는 피부를 위한 천연 마이크로비드 젠틀 스크럽.,gommage
Crème Hydratante Légère,Hanul Beauté,Hydratation,32.0,hydratant|léger|peaux normales,Crème légère à absorption rapide pour une hydratation toute la journée sans sensation grasse.,Light fast-absorbing cream for all-day hydration without greasy feeling.,하루 종일 촉촉함을 유지하는 빠르게 흡수되는 가벼운 크림. 끈적임 없음.,creme
Gel Hydratant Aloe Vera,Hanul Beauté,Hydratation,28.0,apaisant|hydratant|aloe vera,Gel hydratant à l'aloe vera qui apaise et hydrate les peaux sensibles et réactives.,Aloe vera moisturizing gel that soothes and hydrates sensitive and reactive skin.,민감하고 반응성 피부를 진정시키고 보습하는 알로에 베라 보습 젤.,gel
Brume Hydratante Rose,Hanul Beauté,Hydratation,20.0,brume|hydratant|rose,Brume légère à l'eau de rose pour hydrater et rafraîchir la peau tout au long de la journée.,Light rose water mist to hydrate and refresh skin throughout the day.,하루 종일 피부를 보습하고 상쾌하게 해주는 가벼운 로즈워터 미스트.,brume
Masque Tissu Hydratant,Hanul Beauté,Hydratation,8.0,masque tissu|hydratant|éclat,Masque tissu imprégné d'un sérum hydratant intense pour une peau repulpée en 20 minutes.,Sheet mask soaked in intense moisturizing serum for plumped skin in 20 minutes.,20분 만에 탱탱한 피부를 위한 강력 보습 세럼이 함유된 시트 마스크.,masque
Crème Barrière Protectrice,Hanul Beauté,Hydratation,40.0,protecteur|barrière|peaux sensibles,Crème qui renforce la barrière cutanée et protège contre les agressions extérieures.,Cream that strengthens the skin barrier and protects against external aggressions.,외부 자극으로부터 피부를 보호하고 피부 장벽을 강화하는 크림.,creme
Sérum Anti-Âge Rétinol,Prestige Beauté,Anti-âge,95.0,rétinol|anti-rides|nuit,Sérum au rétinol pour une action anti-rides puissante. Utilisation nocturne recommandée.,Retinol serum for powerful anti-wrinkle action. Recommended for nighttime use.,강력한 주름 개선 효과를 위한 레티놀 세럼. 야간 사용 권장.,serum
Crème Jour Fermeté,Prestige Beauté,Anti-âge,88.0,fermeté|anti-âge|SPF20,Crème de jour qui raffermit et lisse la peau tout en offrant une protection solaire SPF20.,Day cream that firms and smooths skin while providing SPF20 sun protection.,SPF20 자외선 차단과 함께 피부를 탄탄하고 매끄럽게 해주는 데이 크림.,creme
Crème Nuit Régénérante,Prestige Beauté,Anti-âge,92.0,régénérant|anti-âge|nuit,Crème de nuit aux actifs régénérants pour réparer et lisser la peau pendant le sommeil.,Night cream with regenerating actives to repair and smooth skin during sleep.,수면 중 피부를 회복하고 매끄럽게 하는 재생 성분이 담긴 나이트 크림.,creme
Ampoule Collagène,Prestige Beauté,Anti-âge,110.0,collagène|fermeté|anti-âge,Ampoule concentrée en collagène marin pour une peau ferme et rebondie.,Ampoule concentrated with marine collagen for firm and bouncy skin.,탄탄하고 탱탱한 피부를 위한 해양 콜라겐이 고농축된 앰플.,ampoule
Patch Lissant Yeux,Prestige Beauté,Anti-âge,35.0,patch|lissant|yeux,Patchs hydrogel sous les yeux pour lisser les rides et réduire les poches en 20 minutes.,Hydrogel under-eye patches to smooth wrinkles and reduce puffiness in 20 minutes.,20분 만에 주름을 펴고 붓기를 줄여주는 하이드로젤 아이 패치.,patch
